0	1
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	2
124	3
125	6
126	8
127	18
128	14
129	18
130	22
131	41
132	38
133	47
134	56
135	74
136	103
137	96
138	124
139	131
140	132
141	128
142	143
143	119
144	168
145	146
146	173
147	192
148	226
149	202
150	212
151	208
152	245
153	266
154	258
155	315
156	289
157	312
158	287
159	321
160	304
161	374
162	381
163	392
164	423
165	464
166	455
167	499
168	509
169	486
170	520
171	584
172	532
173	571
174	613
175	618
176	641
177	617
178	653
179	690
180	688
181	770
182	761
183	786
184	797
185	792
186	835
187	846
188	791
189	853
190	831
191	912
192	870
193	878
194	912
195	899
196	927
197	854
198	966
199	948
200	916
201	1018
202	1028
203	1023
204	1099
205	1060
206	1076
207	1146
208	1201
209	1143
210	1171
211	1189
212	1234
213	1297
214	1180
215	1317
216	1264
217	1257
218	1273
219	1213
220	1240
221	1249
222	1188
223	1207
224	1170
225	1123
226	1120
227	1084
228	1014
229	1047
230	1014
231	918
232	1017
233	1052
234	1078
235	1136
236	1108
237	1125
238	1117
239	1113
240	1133
241	1170
242	1218
243	1173
244	1096
245	1082
246	941
247	823
248	702
249	663
250	2389
251	0
252	0
253	0
254	0
255	0
